case_title,description,results,lessons_learned,success
"Airbnb: #WeAccept Campaign","Airbnb запустил кампанию #WeAccept, чтобы поддержать разнообразие и инклюзивность.","Увеличение числа бронирований на 30%, рост охвата в соцсетях на 50%.","Сильная позиция по социальной ответственности может значительно увеличить лояльность клиентов.","Yes"
"Old Spice: The Man Your Man Could Smell Like","Кампания с юмористическими видеороликами, которая привлекла внимание к бренду.","Увеличение продаж на 125% за 6 месяцев, рост подписчиков в соцсетях на 300%.","Креативный контент может оживить даже устаревший бренд.","Yes"
"Coca-Cola: Share a Coke Campaign","Кампания, в которой имена были напечатаны на бутылках, привлекла молодежную аудиторию.","Продажи выросли на 2%, 500,000 новых пользователей в соцсетях.","Персонализация увеличивает вовлеченность потребителей.","Yes"
"GoPro: User-Generated Content","GoPro использует контент, созданный пользователями, для продвижения своих камер.","Увеличение продаж на 40%, рост вовлеченности на 200%.","Контент, созданный пользователями, может быть мощным инструментом для брендов.","Yes"
"Dropbox: Referral Program","Dropbox предложил пользователям дополнительное место за привлечение друзей.","Увеличение числа пользователей на 60% за 18 месяцев.","Простая реферальная программа может значительно ускорить рост.","Yes"
"Spotify: Wrapped Campaign","Spotify представил пользователям персонализированные музыкальные отчеты за год.","Рост подписчиков на 30%, вирусное распространение в соцсетях.","Персонализированные отчеты могут создать сильную связь с пользователем.","Yes"
"Red Bull: Stratos Jump","Red Bull спонсировал прыжок с высоты 39 км с Феликсом Баумгартнером.","Миллионы зрителей, общий охват в соцсетях на 5 миллионов упоминаний.","Экстремальные мероприятия могут значительно повысить узнаваемость бренда.","Yes"
"Zappos: Customer Service","Zappos стал известен своим исключительным обслуживанием клиентов.","70% клиентов возвращаются после первого заказа, положительные отзывы увеличились на 30%.","Служба поддержки может быть конкурентным преимуществом.","Yes"
"Netflix: Original Content","Netflix инвестировал в создание оригинального контента, чтобы привлечь зрителей.","Увеличение числа подписчиков на 50%, рост доходов на 30% в год.","Инвестиции в оригинальный контент могут повысить удержание клиентов.","Yes"
"Warby Parker: Home Try-On","Warby Parker предлагает клиентам пробовать очки дома перед покупкой.","75% клиентов вернули очки, рост продаж на 20%.","Упрощение процесса покупки может увеличить конверсию.","Yes"
"Beardbrand: Niche Marketing","Beardbrand сфокусировался на узкой нише — мужчинах с бородами.","Рост продаж на 300% за 2 года, значительный рост сообщества в соцсетях.","Фокусировка на нишевом рынке может стать основой для успешного бизнеса.","Yes"
"ASOS: Social Media Engagement","ASOS активно взаимодействует с клиентами через социальные сети.","Рост вовлеченности на 150%, увеличение продаж на 10%.","Активное взаимодействие с клиентами в соцсетях может привести к увеличению продаж.","Yes"
"Pepsi: Live for Now Moments","Кампания с участием знаменитостей, направленная на молодежную аудиторию.","Рост продаж на 5%, значительный рост упоминаний в соцсетях.","Работа с известными личностями может привлечь новую аудиторию.","Yes"
"Patagonia: Worn Wear","Patagonia запустила программу по переработке старой одежды.","Увеличение продаж на 20%, положительный отзыв о бренде.","Ответственное отношение к экологии может улучшить имидж бренда.","Yes"
"Mailchimp: Creative Advertising","Mailchimp использует креативные и забавные рекламные кампании для привлечения клиентов.","Рост числа пользователей на 30%, увеличение вовлеченности на 200%.","Креативный подход в рекламе может выделить ваш бренд на рынке.","Yes"
"Slack: Word-of-Mouth Marketing","Slack использует рекомендации пользователей для роста.","Увеличение числа пользователей на 50% за первый год, высокая степень удержания клиентов.","Сарафанное радио может быть мощным инструментом для роста.","Yes"
"Instagram: Influencer Marketing","Instagram активно использует влиятельных лиц для продвижения.","Рост пользователей на 25%, увеличение вовлеченности на 50%.","Сотрудничество с влиятельными личностями может значительно увеличить охват.","Yes"
"AirAsia: Low-Cost Marketing","AirAsia использует низкобюджетные маркетинговые стратегии для привлечения клиентов.","Рост числа клиентов на 20%, увеличение прибыли на 15%.","Креативные и недорогие маркетинговые решения могут быть эффективными.","Yes"
"Shopify: E-commerce Platform","Shopify предоставил платформа для малого бизнеса для создания интернет-магазинов.","Более 1 миллиона пользователей, рост общего объема продаж на 300%.","Создание удобной платформы может привлечь малый бизнес.","Yes"
"Apple: Product Launch Events","Apple создает ажиотаж вокруг новых продуктов через масштабные запуски.","Продажи новых продуктов превышают 10 миллионов в первый уикенд.","Создание ожидания и интереса может значительно увеличить продажи.","Yes"
"Slack: Community Building","Slack создал активное сообщество пользователей, чтобы поддерживать интерес.","Рост числа активных пользователей на 40%, высокая степень удержания.","Сообщество может стать важным компонентом успеха продукта.","Yes"
"Nike: Just Do It Campaign","Nike запустил мощную кампанию, вдохновляющую людей на действия.","Увеличение продаж на 30%, рост лояльности к бренду.","Сильные эмоциональные послания могут повысить приверженность к бренду.","Yes"
"H&M: Conscious Collection","H&M выпустил коллекцию одежды из переработанных материалов.","Рост продаж на 15%, положительные отзывы о бренде.","Устойчивое развитие может стать основой для нового направления бизнеса.","Yes"
"Lego: Rebuild the World Campaign","Lego запустил кампанию, вдохновляющую детей на творчество и обучение.","Увеличение продаж на 20%, рост вовлеченности в соцсетях на 300%.","Кампания, основанная на ценностях, может привлечь новую аудиторию.","Yes"
"Dropbox: The Referral Program","Dropbox запустил реферальную программу, предлагающую пользователям дополнительное место.","Количество пользователей увеличилось на 60% за 18 месяцев.","Простая и понятная реферальная программа может привести к значительному росту.","Yes"
"Heinz: #HeinzKetchupChallenge","Heinz запустил челлендж в TikTok, чтобы привлечь молодежную аудиторию.","Миллионы участников, рост продаж на 25%.","Использование трендов в социальных сетях может привлечь новую целевую аудиторию.","Yes"
"Tesla: Direct Sales Model","Tesla отказалась от традиционной сети дилеров и продает автомобили напрямую потребителям.","Рост продаж на 50% за год, высокая степень удовлетворенности клиентов.","Непосредственные продажи могут повысить контроль над клиентским опытом.","Yes"
"Burger King: Whopper Detour","Кампания, предлагающая клиентам скидку на Whopper, если они находятся рядом с McDonald's.","Увеличение продаж на 18%, рост загрузок приложения на 1,5 миллиона.","Креативные и забавные кампании могут привлечь внимание к вашему продукту.","Yes"
"Charity: Water: Transparency Campaign","Charity: Water делится информацией о том, как используются пожертвования.","Рост пожертвований на 40%, увеличение числа подписчиков в соцсетях на 300%.","Прозрачность в благотворительности увеличивает доверие.","Yes"
"Spotify: Collaborative Playlists","Spotify предложил пользователям создавать совместные плейлисты с друзьями.","Рост вовлеченности на 60%, увеличение времени, проведенного в приложении.","Функции взаимодействия могут повысить удержание пользователей.","Yes"
"Netflix: Binge-Watching Strategy","Netflix запустил все сезоны своих шоу одновременно для привлечения зрителей.","Рост подписчиков на 25%, увеличение времени просмотра на 50%.","Предложение полного контента может увеличить вовлеченность.","Yes"
"Aloe Blacc: I Need a Dollar Campaign","Aloe Blacc использовал свою песню в рекламе для продвижения бренда.","Сингл поднялся до первой десятки в Billboard, рост продаж на 30%.","Сотрудничество с музыкантами может значительно повысить узнаваемость.","Yes"
"American Express: Small Business Saturday","American Express запустил день поддержки малых бизнесов.","Рост покупок в малом бизнесе на 20%, число участников выросло до 1 миллиона.","Поддержка местного бизнеса может создать сильную связь с клиентами.","Yes"
"LinkedIn: Influencer Program","LinkedIn привлек известных лидеров мнений для создания контента на платформе.","Увеличение вовлеченности на 40%, рост числа зарегистрированных пользователей на 15%.","Сотрудничество с влиятельными личностями может увеличить интерес к вашей платформе.","Yes"
"Reebok: #FitToFight Campaign","Reebok запустил кампанию, вдохновляющую людей заниматься спортом и преодолевать трудности.","Увеличение продаж на 30%, рост вовлеченности на 50%.","Мотивационные кампании могут вдохновить целевую аудиторию.","Yes"
"Spotify: Discover Weekly","Spotify представил плейлист с персонализированными рекомендациями для пользователей.","Увеличение времени прослушивания на 40%, рост числа премиум-подписчиков на 20%.","Персонализация опыта может увеличить удовлетворенность клиентов.","Yes"
"Adidas: Parley for the Oceans","Adidas сотрудничает с экологической организацией Parley для создания обуви из переработанного пластика.","Рост продаж на 25%, положительные отзывы о бренде.","Экологическая ответственность может привлечь новую аудиторию.","Yes"
"Domino's: Pizza Tracker","Domino's внедрил систему отслеживания заказа в реальном времени.","Увеличение удовлетворенности клиентов на 20%, рост числа повторных заказов на 15%.","Технологии могут улучшить клиентский опыт.","Yes"
"Budweiser: Super Bowl Commercials","Budweiser использует креативные рекламные ролики во время Суперкубка.","Рост продаж на 15% в период после Суперкубка, высокая степень обсуждаемости рекламы.","Крупные события могут стать отличной платформой для рекламы.","Yes"
