term,definition,category
Коэффициент конверсии (conversion rate),"это доля пользователей, которые совершили целевое действие в общем количестве посетителей сайта (например, регистрация, подписка на рассылку, заполнение формы, оформление покупки)",Аналитика
Показатель отказов (Bounce Rate),"это процент от общего числа посетителей веб-ресурса, которые провели на сайте менее 15 секунд и не совершили никаких действий",Аналитика
Время на сайте,"показатель Яндекс.Метрики, который отражает продолжительность визита пользователя. Технически это время между первым и последним событиями в визите пользователя",Аналитика
Анализ воронки продаж,"это процесс оценки эффективности рекламных кампаний и процессов продаж, который помогает понять, на каком этапе потенциальные клиенты теряют интерес и какие действия приводят к успешному завершению сделок",Маркетинг
Воронка продаж,"это маркетинговая модель, которая описывает путь клиента от знакомства с продуктом до совершения покупки. Она состоит из нескольких этапов, на каждом из которых потенциальные клиенты отсеиваются. Количество этапов в воронке зависит от специфики бизнеса, но в основе лежит классическая модель AIDA",Маркетинг
Стратегия контент-маркетинга,"это документ, в котором собраны основные составляющие работы с контентом: цели и бюджет, описание целевой аудитории, форматы и темы публикаций, площадки для публикации контента, способы продвижения и метрики",Маркетинг
Виды маркетинговых стратегий,"Выделяют четыре основных вида маркетинговых стратегий развития компании: базовые, конкурентные, глобальные, стратегии роста",Маркетинг
Базовые стратегии,"которые предложил Майкл Портер, основаны на позиционировании компании: Лидерство по издержкам, Дифференциация, Фокусирование",Маркетинг
Конкурентные стратегии,"зависят от ситуации в компании и на рынке. Например, Филип Котлер выделяет четыре конкурентные стратегии: Расширение, Удержание, Сбор урожая, Деинвестирование",Маркетинг
Глобальные стратегии,"относятся: Стратегия интернационализации, Стратегия глобализации, Стратегия кооперации",Маркетинг
Качественный контент,"это информация или материал, который предоставляет ценную, полезную и интересную информацию целевой аудитории. Критерии качества: Полезность, Актуальность, Читаемость, Визуальная привлекательность",Контент-маркетинг
SEO (Search Engine Optimization),"это комплекс мер по внутренней и внешней оптимизации, направленный на повышение позиций веб-ресурса в результатах выдачи по интересующим пользователей запросам",SEO
Цель SEO-оптимизации,повысить рейтинг сайта в результатах поиска и привлечь больше посетителей,SEO
Алгоритмы социальных сетей,"это набор правил и процессов, которые определяют, какой контент отображается в лентах пользователей, как часто и в каком порядке",Социальные сети
Сегментация аудитории,это разделение большой целевой аудитории на более мелкие группы на основе общих характеристик и потребностей,Маркетинг
Автоматизация email-кампаний,"это использование специализированных программных решений для выполнения рутинных задач, связанных с рассылкой писем",Email-маркетинг
Триггеры,"это компоненты автоматизации email-маркетинга, конкретные действия, которые совершают пользователи, например подписка на рассылку",Email-маркетинг
Кампании поэтапного маркетинга,"это серия электронных писем, которые автоматически отправляются с заданными интервалами на основе действий пользователя",Email-маркетинг
Сегментация (в email-маркетинге),"это разделение списка рассылки на разные группы на основе критериев, таких как поведение или демография",Email-маркетинг
Персонализация,это настройка электронных писем с именем получателя и другими личными данными для увеличения релевантности и вовлечённости,Email-маркетинг
Аналитика,это отслеживание и анализ результатов электронных кампаний для уточнения стратегий и улучшения результатов,Email-маркетинг
Google Analytics,"Предоставляет информацию о посещениях, просмотрах, конверсиях и других ключевых показателях сайта",Аналитика
Яндекс.Метрика,"Российский сервис, который собирает статистику посещений и анализирует пользовательские сценарии",Аналитика
Hotjar,Позволяет просматривать записи пользовательских сессий и анализировать тепловые карты для повышения понимания пользовательского опыта,Аналитика
Crazy Egg,Специализируется на создании тепловых карт и анализе поведения пользователей на сайте,Аналитика
Kissmetrics,Инструмент фокусируется на анализе конверсий и воронки преобразований,Аналитика
GDPR (General Data Protection Regulation),"общий регламент по защите данных, законодательный акт Европейского союза, призванный обеспечить защиту данных и конфиденциальность граждан ЕС",Законодательство
Искусственный интеллект (ИИ) в маркетинге,"использование инструментов и технологий ИИ для генерации контента, обработки и анализа информации о маркетинговых кампаниях",Технологии
301 перенаправление,"301 Редирект относится к подходу, используемому для постоянного перенаправления посетителей с одной веб-страницы на другую. На перенаправляемую страницу передается от 90 до 99% ссылочного капитала (ранжирующей силы) страницы. “301” используется для ссылки на код состояния HTTP для типа перенаправления. С этим типом кода браузер перенаправляется с одного URL на другой.",SEO
302 Перенаправление,"Относится к подходу, используемому для временного перенаправления посетителей с одной веб-страницы на другую веб-страницу. “302” относится к коду состояния HTTP для типа перенаправления. С помощью этого типа кода браузер перенаправляется с одного URL-адреса на другой.",SEO
A/B тестирование,"Относится к несложному способу проверки изменений веб-страницы на текст с существующей веб-страницы. Существующий текст называется элементом управления, и он сравнивается с обновленной копией, называемой вариацией. Идеальный вариант — сравнить копию, чтобы определить, какой текст более эффективен. A/B-тестирование также называется сплит-тестированием или ведерным тестированием.",Метрики
Ad extensions,"Относится к дополнительной информации к объявлению Google AdWords. Эта информация может быть в форме адреса компании, выноски, цены, отзывы, нажмите, чтобы позвонить, ссылки на сайт и загрузки приложений. Более длинные объявления увеличивают видимость рекламы на страницах поиска и, как правило, увеличивают количество кликов.",Реклама
Alt text,"Относится к слову, которое используется в HTML (Hypertext Markup Language) для предоставления текстовой альтернативы визуальной информации. Добавление текста к HTML-коду для изображений позволяет слабовидящим посетителям сайта получить информацию о содержании изображения.",SEO
Якорный текст,"Относится к кликабельным словам в гиперссылке. Якорный текст используется в практике SEO в качестве сигнала ранжирования в Google. Гиперссылка предоставляет контекст, связывающий дисплей с другим документом или сайтом в сети.",SEO
Средняя позиция,"Это статистика, которая описывает, как ваше объявление обычно ранжируется по сравнению с другими объявлениями. На странице поиска Google AdWords имеет четыре верхние позиции (1-4). Позиции 1-4 появляются в верхней части страниц результатов поиска.",Метрики
B2B,"Относится к цифровым технологиям и стратегиям, используемым для достижения потенциальных клиентов и преобразования клиентов. B2B сокращенно означает “Бизнес 2 бизнес”.",Маркетинг
B2C,"Относится к аббревиатуре “бизнес для потребителя”. Цифровой маркетинг B2C относится к тактике и лучшим практикам, которые маркетологи используют для продвижения продуктов и услуг потребителям.",Маркетинг
Обратная ссылка,"Относится к ссылке, гиперссылке на другой веб-сайт. HTML-код Href соединяет две ссылки. Сайты с сильными обратными ссылками оцениваются Google выше.",SEO
Bing advertising,"Относится к сервису платформы Bing. Сервис предоставляет рекламу с оплатой за клик на Bing, MSN и Yahoo! поисковые системы.",Реклама
Bing webmaster tools,"Относится к бесплатному сервису Bing, который предоставляет веб-мастерам возможность добавлять веб-сайты в поисковик индекса Bing.",Инструменты
Black hat SEO,"Относится к неэтичным методам цифрового маркетинга или SEO-маркетинга, используемым для повышения рейтинга веб-сайта на странице результатов поисковой системы.",SEO
Показатель отказов,"Относится к термину цифрового маркетинга, используемому в анализе веб-трафика. Маркетологи используют показатель отказов для расчета процента посетителей, которые покидают свой сайт, прежде чем взаимодействовать на странице.",Метрики
Узнаваемость бренда,Относится к степени осведомленности потребителей (отзыв и признание) бренда и связанных с ним продуктов.,Маркетинг
Капитал бренда,"Относится к стоимости бренда. Чем лучше известно название бренда, тем больше бизнеса генерирует бренд.",Маркетинг
Лояльность к бренду,Относится к позитивному отношению потребителей к бренду и приверженности потребителей бренду.,Маркетинг
Личность покупателя,"Относится к полу-вымышленному персонажу или персонажам, используемым маркетологами для представления различных типов покупателей и сценариев.",Маркетинг
Призыв к действию (CTA),"Относится к термину цифрового маркетинга. CTA — это элемент, который побуждает пользователей к действию.",Маркетинг
Канонический элемент,"или rel=canonical относится к HTML-элементу, который веб-мастера используют для предотвращения проблем с дублированием контента. Код RFC 6596 добавляется в HTML-заголовок веб-страницы и используется для предупреждения сканеров Google о дублирующемся содержимом страницы.",SEO
Чат-бот,"Это компьютерная программа, используемая для ведения разговоров слуховыми или текстовыми методами. Чат-боты ведут разговоры с людьми с помощью различных средств, таких как окна чата веб-страниц. Основная цель чат-ботов — предоставить потребителям немедленное обслуживание клиентов или получение информации.",Технологии
Карта кликов,"Относится к графическому представлению областей веб-сайта, где посетители нажимают. Для создания карты кликов используются различные инструменты, которые предоставляют маркетологам более легкую интерпретацию и анализ для отслеживания данных сайта.",Аналитика
Конкурентный анализ,"Это анализ бизнеса и его конкурентной среды, включая сильные и слабые стороны конкурентов. В цифровом маркетинге конкурентный анализ относится к анализу онлайн-конкурентов.",Аналитика
Контент-маркетинг,"Относится к созданию и распространению материалов в Интернете, таких как блоги, видео и сообщения в социальных сетях. Контент-маркетинг создан для предоставления пользователям информации.",Маркетинг
Обновление контента,"Относится к бонусному контенту, предоставляемому потребителям в обмен на их адрес электронной почты. Обновления контента должны предоставлять запрашиваемую информацию, специфичную для сайта и интересов посетителей.",Маркетинг
Коэффициент конверсии,"Относится к проценту посетителей сайта, которые завершают транзакцию сайта. Например, если 100 потребителей посещают веб-сайт и 10 покупают что-либо, коэффициент конверсии составляет 10%.",Метрики
Стоимость клика (CPC),"Это стоимость доллара, которую маркетолог тратит на кампанию с оплатой за клик. Каждое ключевое слово и ключевая фраза имеют заданное значение в долларах.",Реклама
Стоимость за тысячу (CPM),Относится к стоимости онлайн-рекламы на 1000 показов. Маркетологи используют CPM для ставок по ключевым словам или ключевым фразам.,Реклама
Оптимизация конверсии (CRO),"Относится к отрасли цифрового маркетинга с целью увеличения конверсии веб-страниц. Маркетологи используют стратегии, чтобы улучшить поведение посетителей.",Метрики
Crawler,"Это интернет-бот (автоматизированное программное обеспечение), который сканирует веб-сайты для индексации контента. Сканеры также можно назвать “пауками”.",Технологии
Стоимость привлечения клиентов,"Относится к затратам, затрачиваемым на продажу и привлечение клиентов. Это важный показатель для расчета фактической ценности клиента.",Финансы
Опыт работы с клиентами,Относится к организации и качеству отношений с клиентами на протяжении всего пути клиента. Положительный опыт клиента означает удовлетворение от взаимодействия с бизнесом.,Маркетинг
Жизненный цикл клиента,"Относится к процессу охвата, приобретения, конверсии, удержания и лояльности клиента, а также прогнозированию чистой прибыли, связанной со всеми будущими отношениями с клиентом.",Маркетинг
Болевая точка клиента,"Относится к конкретной проблеме или проблеме, с которой сталкиваются потенциальные клиенты бизнеса. Основные типы болевых точек включают финансовые, производственные, процессные и поддерживающие.",Маркетинг
Формирование спроса,"Генерация спроса относится к целенаправленным маркетинговым усилиям рекламодателя по созданию осведомленности о бренде, продукте и/или услуге. Часто используется в B2B, B2G и B2C.",Маркетинг
Цифровой маркетинг,"Относится к термину, используемому для связи маркетинговых методов с цифровыми технологиями, такими как Интернет. Включает SEO, CRO, PPC, ведение блогов, веб-дизайн и контент-маркетинг.",Маркетинг
Digital marketing реклама,"Относится к онлайн-маркетингу и маркетингу мобильных телефонов, используемым для продвижения бренда, продуктов и услуг.",Реклама
Модели атрибуции цифрового маркетинга,"Относятся к идентификации действий пользователей, которые достигают целей маркетолога, таких как шаги, ведущие к продаже.",Аналитика
Автоматизация цифрового маркетинга,"Относится к программному обеспечению, предназначенному для автоматизации маркетинговых действий, таких как кампании по электронной почте и социальные сети.",Технологии
Цифровые маркетинговые кампании,"Относятся к онлайн-рекламе, включая PPC и контент-маркетинг, используемую для взаимодействия с потребителями и увеличения дохода.",Маркетинг
Цифровые маркетинговые каналы,"Относятся к источникам цифровой рекламы, таким как поисковые системы, веб-сайты, мобильные приложения и социальные сети.",Маркетинг
Цифровая маркетинговая панель,"Относится к программному обеспечению, которое предоставляет маркетологам информацию об их маркетинговой деятельности в Интернете.",Аналитика
Воронки цифрового маркетинга,"Относятся к пятиэтапному процессу покупки потребителем, включая экспозицию, обнаружение, рассмотрение, конверсию и удержание клиентов.",Маркетинг
Цели цифрового маркетинга,"Относятся к количественным и интерактивным целям, направленным на выявление и охват потребителей, а также на формирование лояльности.",Маркетинг
Digital marketing KPI (Key Performance Indicators),"Относятся к значениям для отслеживания и измерения эффективности маркетинговых кампаний, включающим производительность и финансовые показатели.",Метрики
Показатели цифрового маркетинга,"Относятся к ценностям, используемым для измерения и отслеживания успеха маркетинговой кампании, включая источники веб-трафика и коэффициент конверсии.",Метрики
План цифрового маркетинга,"Относится к структурированному плану продвижения цифрового маркетинга, используемому для продвижения бренда и продуктов.",Маркетинг
Цифровое маркетинговое предложение,"Относится к информации о бренде, продукте или услуге и ценах, предоставляемой потребителю.",Маркетинг
Digital Marketing Qualified Lead (DMQL),"Относится к потребителю или бизнесу, который проявляет интерес к бренду и имеет характеристики, классифицирующие его как возможную продажу.",Маркетинг
Digital marketing report (Отчет о цифровом маркетинге),"Относится к отчету, используемому для отслеживания основных показателей и понимания эффективности кампании.",Аналитика
Сегментация цифрового маркетинга,"Относится к стратегии подгруппирования клиентов с широкого рынка на основе общих характеристик, таких как прошлые покупки и интересы.",Маркетинг
Услуги цифрового маркетинга,"Относятся к компании или поставщику услуг цифрового маркетинга, специализирующемуся на продвижении бизнеса через цифровые каналы, такие как SEO, PPC и контент-маркетинг.",Маркетинг
Стратегии цифрового маркетинга,"Относятся к структурированным маркетинговым планам, использующим методы цифрового маркетинга для достижения целей.",Маркетинг
Тактика цифрового маркетинга,"Относится к цифровым методам, используемым для охвата целевой аудитории, включая SEO, контент-маркетинг и PPC-кампании.",Маркетинг
Инструменты цифрового маркетинга,"Относятся к программным технологиям, позволяющим маркетологам охватывать потребителей через целевые коммуникации, включая SEO, онлайн-рекламу и веб-аналитику.",Технологии
Прямой трафик,"Относится к пользователям, переходящим непосредственно на веб-страницу, вводя URL или используя закладки.",Аналитика
Медийная сеть,"Сеть веб-сайтов и приложений, позволяющая маркетологам отображать рекламу на своих страницах, например, Google AdWords.",Реклама
Dofollow Обратные ссылки,"Относятся к гиперссылкам, которые передают SEO-значение адреса назначения, в отличие от тегов Nofollow.",SEO
Автоматизация электронной почты,"Относится к системе, использующей программное обеспечение для автоматической отправки электронных писем на основе триггеров, таких как покупки клиентов.",Маркетинг
Электронная коммерция,"Относится к онлайн-бизнесу, который продает товары или услуги непосредственно потребителям.",Бизнес
Списки адресов электронной почты,"Набор адресов электронной почты, используемых для таргетирования кампаний по электронной почте.",Маркетинг
Сегментация списка рассылки,"Метод, разделяющий список подписчиков электронной почты для более релевантной коммуникации с клиентами.",Маркетинг
Маркетинг по электронной почте,Использование электронной почты для преобразования потенциальных клиентов и клиентов в продажи.,Маркетинг
Уровень вовлеченности,"Процент подписчиков или зрителей, взаимодействующих с постом, включая комментарии, лайки и репосты.",Аналитика
Событийный маркетинг,"Продвижение бренда, продукта или услуги через рекламные мероприятия с прямым взаимодействием с потребителями.",Маркетинг
Скорость выхода,"Процент посетителей, покидающих определенную страницу сайта, чтобы перейти на другой сайт.",Аналитика
Менеджер рекламы Facebook,Инструмент для создания и оптимизации рекламных кампаний в социальных сетях Facebook.,Реклама
Реклама в Facebook,"Относится к рекламной сети Facebook, позволяющей пользователям продвигать бренды и продукты на платформе.",Реклама
Анализ аудитории Facebook,"Инструмент для целевой аудитории, предоставляющий информацию о демографии и поведении пользователей.",Аналитика
Бизнес-страница Facebook,"Страница бизнес-профиля на Facebook, используемая для продвижения брендов, продуктов и услуг.",Маркетинг
Facebook Live,"Функция, позволяющая пользователям Facebook транслировать видео в реальном времени со своих устройств.",Технологии
Facebook Messenger Боты,"Относятся к программному обеспечению, использующему искусственный интеллект для общения с клиентами, позволяя получать немедленные ответы на вопросы.",Технологии
Фрагменты функций,"Фрагмент информации о веб-сайте, извлеченный Google для отображения в результатах поиска, предоставляющий быстрые ответы на распространенные запросы.",SEO
Google Ads,"Сервис онлайн-рекламы Google, позволяющий маркетологам обращаться к потребителям через поисковые страницы и медийные сети.",Реклама
Алгоритм Google,"Математическая система, используемая Google для определения ранжирования веб-сайтов на страницах результатов поиска.",SEO
